LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,case_id,label_category,label_detail
10055827520,12/26/23 22:35:54,Time Reversal Event,CreationTime : 2023-12-26 22:30:34 -> 2022-12-22 23:19:23,nTimestomp_SI_C_Manipulation.dll,\Program Files\Windows Mail\nTimestomp_SI_C_Manipulation.dll,,,,,Update Resident Value,0xA42,2,7,Timestamp Manipulation,"[Malicious] After execution of nTimestomp, $SI timestamp of nTimestomp_SI_C_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-26 22:30:34 -> 2022-12-22 23:19:23"""
10055827853,12/26/23 22:35:54,File Creation,,NTIMESTOMP_V1.2_X64.EXE-6EA682C3.pf,\Windows\Prefetch\NTIMESTOMP_V1.2_X64.EXE-6EA682C3.pf,12/26/23 22:35:54,12/26/23 22:35:54,12/26/23 22:35:54,12/26/23 22:35:54,Initialize File Record Segment,0xB1,2,7,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
10056237725,12/26/23 22:51:39,Time Reversal Event,ModifiedTime : 2023-12-26 22:46:00 -> 2022-12-22 23:19:23,nTimestomp_SI_M_Manipulation.dll,\Program Files\Windows Mail\nTimestomp_SI_M_Manipulation.dll,,,,,Update Resident Value,0x1D05,6,8,Timestamp Manipulation,"[Malicious] After execution of nTimestomp, $SI timestamp of nTimestomp_SI_M_Manipulation.dll"" is changed to the past. => ModifiedTime : 2023-12-26 22:46:00 -> 2022-12-22 23:19:23"""
10056238058,12/26/23 22:51:39,File Creation,,NTIMESTOMP_V1.2_X64.EXE-6EA682C3.pf,\Windows\Prefetch\NTIMESTOMP_V1.2_X64.EXE-6EA682C3.pf,12/26/23 22:51:39,12/26/23 22:51:39,12/26/23 22:51:39,12/26/23 22:51:39,Initialize File Record Segment,0x9A,6,8,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
10056226616,,Time Reversal Event,CreationTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23/ ModifiedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23/ MFTModifiedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23/ AccessedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23,nTimestomp_SI_MACE_Manipulation.dll,\Program Files\Windows Mail\nTimestomp_SI_MACE_Manipulation.dll,,,,,Update Resident Value,0x3009,4,9,Timestamp Manipulation,"[Malicious] After execution of nTimestomp, $SI timestamp of nTimestomp_SI_MACE_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23, ModifiedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23, MFTModifiedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23, AccessedTime : 2023-12-26 23:03:30 -> 2022-12-22 23:19:23"""
10056226976,12/26/23 23:09:09,File Creation,,NTIMESTOMP_V1.2_X64.EXE-6EA682C3.pf,\Windows\Prefetch\NTIMESTOMP_V1.2_X64.EXE-6EA682C3.pf,12/26/23 23:09:09,12/26/23 23:09:09,12/26/23 23:09:09,12/26/23 23:09:09,Initialize File Record Segment,0xB1,2,9,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
10588363482,12/31/23 1:21:10,Time Reversal Event,CreationTime : 2023-12-31 01:15:49 -> 2023-12-25 16:22:59(same as wabimp.dll)/ ModifiedTime : 2023-12-31 01:15:50 -> 2023-12-25 16:22:59(same as wabimp.dll)/ MFTModifiedTime : 2023-12-31 01:15:50 -> 2023-12-25 16:34:25(same as wabimp.dll)/ AccessedTime : 2023-12-31 01:15:50 -> 2023-12-25 16:34:25(same as wabimp.dll),SetMACE_SI_MACE_Copy_Manipulation.dll,\Program Files\Windows Mail\SetMACE_SI_MACE_Copy_Manipulation.dll,,,,,Update Resident Value,0xDF9,4,11,Timestamp Manipulation,"[Malicious] After execution of SetMace, $SI timestamp of SetMACE_SI_MACE_Copy_Manipulation.dll"" is changed to the past. (Using another normal file's timestamp) => CreationTime : 2023-12-31 01:15:49 -> 2023-12-25 16:22:59(same as wabimp.dll), ModifiedTime : 2023-12-31 01:15:50 -> 2023-12-25 16:22:59(same as wabimp.dll), MFTModifiedTime : 2023-12-31 01:15:50 -> 2023-12-25 16:34:25(same as wabimp.dll), AccessedTime : 2023-12-31 01:15:50 -> 2023-12-25 16:34:25(same as wabimp.dll)"""
10588363823,12/31/23 1:21:10,File Creation,,SETMACE_X64.EXE-97F7141F.pf,\Windows\Prefetch\SETMACE_X64.EXE-97F7141F.pf,12/31/23 1:21:10,12/31/23 1:21:10,12/31/23 1:21:10,12/31/23 1:21:10,Initialize File Record Segment,0x2A14,2,11,Execution of Suspicious Programs,SetMace (Timestamp Manipulation) has been executed.
10589145610,1/1/24 0:06:00,Time Reversal Event,CreationTime : 2023-12-31 23:57:58 -> 2022-12-22 23:19:23/ ModifiedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23/ MFTModifiedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23/ AccessedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23,SetMACE_SI_FN_MACE_Manipulation.dll,\Program Files\Windows Mail\SetMACE_SI_FN_MACE_Manipulation.dll,,,,,Update Resident Value,0xC76,2,12,Timestamp Manipulation,"[Malicious] After execution of SetMace, $SI timestamp of SetMACE_SI_FN_MACE_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-31 23:57:58 -> 2022-12-22 23:19:23, ModifiedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23, MFTModifiedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23, AccessedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23"""
10589147061,1/1/24 0:06:00,Time Reversal Event,MFTModifiedTime : 2024-01-01 00:06:00 -> 2022-12-22 23:19:23,SetMACE_SI_FN_MACE_Manipulation.dll,,,,,,Update Resident Value,0xC76,2,12,Timestamp Manipulation,"[Malicious] $SI, $FN timestamp manipulation of SetMACE_SI_FN_MACE_Manipulation.dll"" is detected. (Time Reversal Event(10589145610) -> Move(Before) -> Move(After) -> Time Reversal Event(10589147061))"""
10589148049,1/1/24 0:06:00,Time Reversal Event,MFTModifiedTime : 2024-01-01 00:06:00 -> 2022-12-22 23:19:23,SetMACE_SI_FN_MACE_Manipulation.dll,\Program Files\Windows Mail\SetMACE_SI_FN_MACE_Manipulation.dll,,,,,Update Resident Value,0xC76,2,12,Timestamp Manipulation,"[Malicious] $SI, $FN timestamp manipulation of SetMACE_SI_FN_MACE_Manipulation.dll"" is detected. (Time Reversal Event(10589147061) -> Move(Before) -> Move(After) -> Time Reversal Event(10589148049))"""
10589148732,1/1/24 0:06:00,File Creation,,SETMACE_X64.EXE-97F7141F.pf,\Windows\Prefetch\SETMACE_X64.EXE-97F7141F.pf,1/1/24 0:06:00,1/1/24 0:06:00,1/1/24 0:06:00,1/1/24 0:06:00,Initialize File Record Segment,0x30D8,0,12,Execution of Suspicious Programs,SetMace (Timestamp Manipulation) has been executed.
