lsn,eventtime,event,filedirectoryname,fullpath,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,targetvcn,clusterindex,missing_fullpath_flag
8713801892,12/23/23 0:14:23,File Creation,dropboxstatus-logo@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17390,4,0
8713803272,12/23/23 0:14:23,File Creation,dropboxstatus-logo@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-logo@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17392,4,0
8713803995,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17392,6,0
8713804746,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17393,0,0
8713805502,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17393,2,0
8713806250,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17393,4,0
8713807055,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17394,0,0
8713807802,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17394,4,0
8713808552,12/23/23 0:14:23,File Creation,dropboxstatus-longnotification@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-longnotification@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17395,0,0
8713809292,12/23/23 0:14:23,File Creation,dropboxstatus-notification.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17395,4,0
8713810033,12/23/23 0:14:23,File Creation,dropboxstatus-notification@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17395,6,0
8713811673,12/23/23 0:14:23,File Creation,dropboxstatus-notification@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17396,4,0
8713812463,12/23/23 0:14:23,File Creation,dropboxstatus-notification@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1739B,4,0
8713813212,12/23/23 0:14:23,File Creation,dropboxstatus-notification@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1739E,6,0
8713814053,12/23/23 0:14:23,File Creation,dropboxstatus-notification@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x1739F,6,0
8713814788,12/23/23 0:14:23,File Creation,dropboxstatus-notification@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-notification@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173A0,2,0
8713815624,12/23/23 0:14:23,File Creation,dropboxstatus-pause.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173A0,4,0
8713816345,12/23/23 0:14:23,File Creation,dropboxstatus-pause@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173A5,2,0
8713817075,12/23/23 0:14:23,File Creation,dropboxstatus-pause@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AB,2,0
8713817953,12/23/23 0:14:23,File Creation,dropboxstatus-pause@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AB,4,0
8713818782,12/23/23 0:14:23,File Creation,dropboxstatus-pause@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AB,6,0
8713819602,12/23/23 0:14:23,File Creation,dropboxstatus-pause@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AC,0,0
8713820424,12/23/23 0:14:23,File Creation,dropboxstatus-pause@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-pause@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AC,2,0
8713821248,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AC,4,0
8713821994,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173AC,6,0
8713823454,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x173B5,2,0
8713824206,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17485,2,0
8713824963,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17485,6,0
8713825815,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17487,0,0
8713826557,12/23/23 0:14:23,File Creation,dropboxstatus-shortnotification@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-shortnotification@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17487,2,0
8713827401,12/23/23 0:14:23,File Creation,dropboxstatus-snooze.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x17487,4,0
8713828175,12/23/23 0:14:23,File Creation,dropboxstatus-snooze@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C5,4,0
8713828911,12/23/23 0:14:23,File Creation,dropboxstatus-snooze@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C6,2,0
8713829641,12/23/23 0:14:23,File Creation,dropboxstatus-snooze@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C6,4,0
8713830369,12/23/23 0:14:23,File Creation,dropboxstatus-snooze@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C6,6,0
8713831104,12/23/23 0:14:23,File Creation,dropboxstatus-snooze@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C7,0,0
8713831830,12/23/23 0:14:23,File Creation,dropboxstatus-snooze@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-snooze@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C7,2,0
8713833300,12/23/23 0:14:23,File Creation,dropboxstatus-x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C7,4,0
8713834093,12/23/23 0:14:23,File Creation,dropboxstatus-x@1p25x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x@1p25x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C7,6,0
8713835470,12/23/23 0:14:23,File Creation,dropboxstatus-x@1p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x@1p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C8,0,0
8713836882,12/23/23 0:14:23,File Creation,dropboxstatus-x@1p75x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x@1p75x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C8,2,0
8713837704,12/23/23 0:14:23,File Creation,dropboxstatus-x@2p5x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x@2p5x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C8,4,0
8713838517,12/23/23 0:14:23,File Creation,dropboxstatus-x@2x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x@2x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C8,6,0
8713839335,12/23/23 0:14:23,File Creation,dropboxstatus-x@3x.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\03_Tray_Icon\win\light\dropboxstatus-x@3x.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C9,0,0
8713840210,12/23/23 0:14:23,Directory Creation,05_Splash_Screens,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C9,2,0
8713840513,12/23/23 0:14:23,Directory Creation,camera,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\camera,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C9,4,0
8713840806,12/23/23 0:14:23,Directory Creation,electron,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\camera\electron,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174C9,6,0
8713841175,12/23/23 0:14:23,File Creation,splashCameraWelcome.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\camera\electron\splashCameraWelcome.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CA,0,0
8713842040,12/23/23 0:14:23,Directory Creation,Office,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\Office,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CA,2,0
8713842329,12/23/23 0:14:23,Directory Creation,electron,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\Office\electron,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CA,4,0
8713842641,12/23/23 0:14:23,File Creation,splashOfficeAddin.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\Office\electron\splashOfficeAddin.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CA,6,0
8713843529,12/23/23 0:14:23,Directory Creation,Screenshots,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\Screenshots,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CB,0,0
8713843839,12/23/23 0:14:23,Directory Creation,electron,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\Screenshots\electron,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CB,2,0
8713844151,12/23/23 0:14:23,File Creation,splashScreenshots.png,\Program Files (x86)\Dropbox\Client\189.4.8395\images\05_Splash_Screens\Screenshots\electron\splashScreenshots.png,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CB,4,0
8713844972,12/23/23 0:14:23,File Creation,isotope_manager_python.cp38-win_amd64.pyd,\Program Files (x86)\Dropbox\Client\189.4.8395\isotope_manager_python.cp38-win_amd64.pyd,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CB,6,0
8713845824,12/23/23 0:14:23,File Creation,isotope_python.cp38-win_amd64.pyd,\Program Files (x86)\Dropbox\Client\189.4.8395\isotope_python.cp38-win_amd64.pyd,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CC,0,0
8713846651,12/23/23 0:14:23,File Creation,kernel32_native.pyd,\Program Files (x86)\Dropbox\Client\189.4.8395\kernel32_native.pyd,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CC,2,0
8713847486,12/23/23 0:14:23,File Creation,libEGL.dll,\Program Files (x86)\Dropbox\Client\189.4.8395\libEGL.dll,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CC,4,0
8713848183,12/23/23 0:14:23,File Creation,libffi-7.dll,\Program Files (x86)\Dropbox\Client\189.4.8395\libffi-7.dll,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CC,6,0
8713848919,12/23/23 0:14:23,File Creation,libGLESv2.dll,\Program Files (x86)\Dropbox\Client\189.4.8395\libGLESv2.dll,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CD,0,0
8713850533,12/23/23 0:14:23,Directory Creation,locales,\Program Files (x86)\Dropbox\Client\189.4.8395\locales,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CD,2,0
8713850815,12/23/23 0:14:23,File Creation,am.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\am.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CD,4,0
8713851512,12/23/23 0:14:23,File Creation,ar.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\ar.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CD,6,0
8713852201,12/23/23 0:14:23,File Creation,bg.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\bg.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CE,0,0
8713852895,12/23/23 0:14:23,File Creation,bn.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\bn.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CE,2,0
8713853592,12/23/23 0:14:23,File Creation,ca.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\ca.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CE,4,0
8713854284,12/23/23 0:14:23,File Creation,cs.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\cs.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CE,6,0
8713854984,12/23/23 0:14:23,File Creation,da.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\da.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CF,0,0
8713855984,12/23/23 0:14:23,File Creation,de.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\de.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CF,2,0
8713856685,12/23/23 0:14:23,File Creation,el.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\el.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CF,4,0
8713857389,12/23/23 0:14:23,File Creation,en-GB.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\en-GB.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174CF,6,0
8713858093,12/23/23 0:14:23,File Creation,en-US.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\en-US.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174D0,0,0
8713858789,12/23/23 0:14:23,File Creation,es-419.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\es-419.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174D0,2,0
8713859484,12/23/23 0:14:23,File Creation,es.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\es.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174D0,4,0
8713860181,12/23/23 0:14:23,File Creation,et.pak,\Program Files (x86)\Dropbox\Client\189.4.8395\locales\et.pak,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,12/23/23 0:14:23,Initialize File Record Segment,0x174D0,6,0
