TimeStamp(UTC+8),USN,File/Directory Name,FullPath,EventInfo,SourceInfo,FileAttribute,Carving Flag,FileReferenceNumber,ParentFileReferenceNumber,case_id,label_category,label_detail
12/31/23 0:36:32,1754188896,WindowsUpdate.20231225.164824.113.76.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.76.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000C9F8,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.76.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754189616,WindowsUpdate.20231225.164824.113.77.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.77.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9F9,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.77.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754190400,WindowsUpdate.20231225.164824.113.78.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.78.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9FA,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.78.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754191120,WindowsUpdate.20231225.164824.113.79.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.79.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9FB,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.79.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754191840,WindowsUpdate.20231225.164824.113.80.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.80.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000C9FD,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.80.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754192560,WindowsUpdate.20231225.164824.113.81.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.81.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA04,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.81.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754193280,WindowsUpdate.20231225.164824.113.82.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.82.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA05,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.82.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754194064,WindowsUpdate.20231225.164824.113.83.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.83.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA06,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.83.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754194784,WindowsUpdate.20231225.164824.113.84.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.84.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA08,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.84.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754195504,WindowsUpdate.20231225.164824.113.85.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.85.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA09,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.85.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754196224,WindowsUpdate.20231225.164824.113.86.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.86.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA0B,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.86.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754196944,WindowsUpdate.20231225.164824.113.87.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.87.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA0C,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.87.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754197664,WindowsUpdate.20231225.164824.113.88.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.88.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA0D,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.88.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
12/31/23 0:36:32,1754198448,WindowsUpdate.20231225.164824.113.89.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.164824.113.89.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA0F,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.89.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754199168,WindowsUpdate.20231225.173759.428.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.173759.428.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA10,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754199888,WindowsUpdate.20231225.173759.428.2.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.173759.428.2.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA12,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.2.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754200608,WindowsUpdate.20231225.175817.420.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.175817.420.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA13,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.175817.420.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754201328,WindowsUpdate.20231225.181843.333.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.181843.333.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA14,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.181843.333.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754202112,WindowsUpdate.20231225.183040.874.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.183040.874.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA17,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.183040.874.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754202832,WindowsUpdate.20231225.184944.109.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.184944.109.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA19,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.184944.109.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754203640,WindowsUpdate.20231225.191048.081.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.191048.081.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA1E,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.191048.081.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754204536,WindowsUpdate.20231225.193041.301.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.193041.301.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA21,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.193041.301.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754208416,WindowsUpdate.20231225.231817.373.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.231817.373.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA27,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.231817.373.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754209248,WindowsUpdate.20231225.235013.988.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231225.235013.988.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA29,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.235013.988.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754211056,WindowsUpdate.20231226.001944.806.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231226.001944.806.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA2C,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231226.001944.806.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754212496,WindowsUpdate.20231226.010558.490.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231226.010558.490.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA2E,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231226.010558.490.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754213216,WindowsUpdate.20231227.004534.197.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.004534.197.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA2F,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.004534.197.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754213936,WindowsUpdate.20231227.014918.931.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.014918.931.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA31,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.014918.931.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754214688,WindowsUpdate.20231227.024016.873.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.024016.873.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA32,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.024016.873.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754215408,WindowsUpdate.20231227.034017.132.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.034017.132.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA33,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.034017.132.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754216128,WindowsUpdate.20231227.040129.253.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.040129.253.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA34,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.040129.253.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754216848,WindowsUpdate.20231227.044017.181.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.044017.181.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA35,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.044017.181.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754217568,WindowsUpdate.20231227.054017.182.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.054017.182.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA39,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.054017.182.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754218288,WindowsUpdate.20231227.064017.196.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.064017.196.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA41,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.064017.196.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754219072,WindowsUpdate.20231227.074017.195.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.074017.195.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA42,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.074017.195.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754219792,WindowsUpdate.20231227.083512.034.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.083512.034.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000300000000CA45,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.083512.034.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754220512,WindowsUpdate.20231227.084749.101.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.084749.101.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA47,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.084749.101.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754221232,WindowsUpdate.20231227.094749.424.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.094749.424.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA61,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.094749.424.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754221952,WindowsUpdate.20231227.104749.422.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.104749.422.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CA80,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.104749.422.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
12/31/23 0:36:32,1754222736,WindowsUpdate.20231227.114749.422.1.etl,\Windows\Temp\_0BF2011F-7342-4A5A-A8E9-ACD34468FCA3\WindowsUpdate.20231227.114749.422.1.etl,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten / File_Closed,Normal,Archive,,0x000200000000CAAB,0x000400000000C9F2,6,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.114749.422.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
